"provision_id","source_type","part_chapter","article_section","title","verbatim_text_excerpt","simplified_explanation","keywords","landmark_case_1","lc1_year","lc1_holding_summary","landmark_case_2","lc2_year","lc2_holding_summary","upsc_relevance","category"
"IND-011","Constitution","Part III - Fundamental Rights","Article 19","Protection of certain rights regarding freedom of speech","All citizens shall have the right to freedom of speech and expression; to assemble peaceably and without arms; to form associations or unions; to move freely throughout the territory of India; to reside and settle in any part of India; and to practise any profession","Article 19 guarantees 6 freedoms (originally 7) to citizens only. Freedom of speech includes press freedom, right to information, commercial speech, and right to silence. Each freedom has reasonable restrictions under Clauses 2-6 such as sovereignty, public order, morality, and security.","Freedom of Speech,Press Freedom,Assembly,Association,Movement,Profession,Reasonable Restrictions","Romesh Thappar v. State of Madras","1950","Freedom of speech and press is the foundation of democratic governance","Shreya Singhal v. Union of India","2015","Section 66A IT Act struck down as unconstitutional for violating free speech","High","Fundamental Rights - Right to Freedom"
"IND-012","Constitution","Part III - Fundamental Rights","Article 21","Protection of life and personal liberty","No person shall be deprived of his life or personal liberty except according to procedure established by law","The most expansive Fundamental Right. 'Life' means much more than mere animal existence — it includes the right to livelihood, education, health, privacy, dignity, clean environment, speedy trial, legal aid, and many more. The procedure must be fair, just, and reasonable (not merely any procedure prescribed by law).","Right to Life,Personal Liberty,Due Process,Dignity,Privacy,Livelihood,Health","Maneka Gandhi v. Union of India","1978","Procedure under Article 21 must be fair, just and reasonable; not arbitrary or oppressive","K.S. Puttaswamy v. Union of India","2017","Right to Privacy is a Fundamental Right under Article 21","High","Fundamental Rights - Right to Life"
"IND-013","Constitution","Part III - Fundamental Rights","Article 21A","Right to Education","The State shall provide free and compulsory education to all children of the age of six to fourteen years in such manner as the State may, by law, determine","Inserted by 86th Constitutional Amendment 2002. Makes education a Fundamental Right for children aged 6-14. The Right to Education Act 2009 operationalises this right mandating 25% seats for disadvantaged children in private schools.","Right to Education,RTE Act,86th Amendment,Children,Free Education,Compulsory Education","Society for Unaided Private Schools of Rajasthan v. Union of India","2012","RTE Act 25% reservation for disadvantaged children in private schools is constitutional","Ashok Kumar Thakur v. Union of India","2008","Right to education must be real and effective, not illusory","High","Fundamental Rights - Right to Education"
"IND-014","Constitution","Part III - Fundamental Rights","Article 22","Protection against arrest and detention","No person who is arrested shall be detained in custody without being informed, as soon as may be, of the grounds for such arrest nor shall he be denied the right to consult, and to be defended by, a legal practitioner of his choice","Every arrested person has the right to be informed of grounds of arrest, consult a lawyer, and be produced before a magistrate within 24 hours. Preventive detention laws are an exception to these safeguards but have their own constitutional safeguards (maximum 3 months without Advisory Board approval).","Arrest,Detention,Magistrate,24 Hours,Legal Aid,Preventive Detention","D.K. Basu v. State of West Bengal","1997","Laid down detailed guidelines for arrest to prevent custodial violence","A.K. Gopalan v. State of Madras","1950","Preventive detention under law satisfying Article 22 safeguards is valid","High","Fundamental Rights - Right against Exploitation"
"IND-015","Constitution","Part III - Fundamental Rights","Article 23","Prohibition of traffic in human beings and forced labour","Traffic in human beings and begar and other similar forms of forced labour are prohibited and any contravention of this provision shall be an offence punishable in accordance with law","Human trafficking, begar (forced labour without payment), and bonded labour are constitutionally prohibited. Enforceable against private individuals too. The Bonded Labour System (Abolition) Act 1976 and Immoral Traffic (Prevention) Act 1956 operationalise this article.","Human Trafficking,Begar,Forced Labour,Bonded Labour,Exploitation","People's Union for Democratic Rights v. Union of India","1982","Payment below minimum wage constitutes forced labour under Article 23","Bandhua Mukti Morcha v. Union of India","1984","State has affirmative obligation to identify and release bonded labourers","High","Fundamental Rights - Right against Exploitation"
"IND-016","Constitution","Part III - Fundamental Rights","Article 24","Prohibition of employment of children in factories","No child below the age of fourteen years shall be employed to work in any factory or mine or engaged in any other hazardous employment","Children below 14 cannot be employed in factories, mines, or hazardous work. The Child Labour (Prohibition and Regulation) Amendment Act 2016 extended this to prohibit employment in all occupations for children below 14 and in hazardous occupations for children aged 14-18.","Child Labour,Factory,Mine,Hazardous Employment,Children Rights","M.C. Mehta v. State of Tamil Nadu","1996","Directions for rehabilitation of child labour and compulsory education","Bandhua Mukti Morcha v. Union of India","1984","Child labour is violative of Articles 24, 39(e), and 39(f)","High","Fundamental Rights - Right against Exploitation"
"IND-017","Constitution","Part III - Fundamental Rights","Article 25","Freedom of conscience and free profession of religion","Subject to public order, morality and health and to the other provisions of this Part, all persons are equally entitled to freedom of conscience and the right freely to profess, practise and propagate religion","Every person has the right to freely hold, practice, and propagate their religion. However, the state can regulate secular activities associated with religion, provide for social welfare, and reform Hindu institutions. The right to propagate does not include the right to convert by force or fraud.","Religion,Conscience,Propagation,Secular Activities,Religious Freedom","Stanislaus v. State of Madhya Pradesh","1977","Right to propagate religion does not include right to forcible or fraudulent conversion","Shirur Mutt Case (Commissioner v. LT Swamiar)","1954","Religion includes practices and rituals integral to religion; state cannot interfere with essential religious practices","High","Fundamental Rights - Right to Freedom of Religion"
"IND-018","Constitution","Part III - Fundamental Rights","Article 26","Freedom to manage religious affairs","Subject to public order, morality and health, every religious denomination or any section thereof shall have the right to establish and maintain institutions for religious and charitable purposes; to manage its own affairs in matters of religion","Every religious denomination can establish and manage its own religious institutions, manage religious affairs, own property, and administer it. But the State can regulate the secular activities of a religious institution.","Religious Denomination,Manage Affairs,Property,Administration","Shirur Mutt Case","1954","Religious denomination can manage its own affairs; state cannot interfere in essentially religious matters","Durgah Committee Ajmer v. Syed Hussain Ali","1961","Only essential religious practices are protected; mere superstitious practices are not","High","Fundamental Rights - Right to Freedom of Religion"
"IND-019","Constitution","Part III - Fundamental Rights","Article 29","Protection of interests of minorities","Any section of the citizens residing in the territory of India or any part thereof having a distinct language, script or culture of its own shall have the right to conserve the same","Any section of citizens with a distinct language, script, or culture can conserve it. No citizen can be denied admission to state-funded educational institutions on grounds of religion, race, caste, or language.","Minority,Language,Script,Culture,Conservation","T.M.A. Pai Foundation v. State of Karnataka","2002","Broad interpretation of minority rights; linguistic minorities also protected","State of Madras v. Champakam Dorairajan","1951","Led to First Constitutional Amendment adding Clause 4 to Article 15 for reservations in education","High","Fundamental Rights - Cultural and Educational Rights"
"IND-020","Constitution","Part III - Fundamental Rights","Article 30","Right of minorities to establish educational institutions","All minorities, whether based on religion or language, shall have the right to establish and maintain educational institutions of their choice","Religious and linguistic minorities can establish and administer their own educational institutions. The State cannot discriminate against minority institutions in granting aid. However, the State can impose reasonable regulations for ensuring educational standards.","Minority Educational Institutions,Religion,Language,Establish,Administer","T.M.A. Pai Foundation v. State of Karnataka","2002","National level minority status for religious minorities; state level for linguistic minorities; reasonable regulation permitted","P.A. Inamdar v. State of Maharashtra","2005","Minority institutions have right to admit students of their choice but must follow merit and transparency","High","Fundamental Rights - Cultural and Educational Rights"
"IND-021","Constitution","Part III - Fundamental Rights","Article 32","Right to Constitutional Remedies","The right to move the Supreme Court by appropriate proceedings for the enforcement of the rights conferred by this Part is guaranteed","Called the 'heart and soul' of the Constitution by Dr. Ambedkar. Every person can directly approach the Supreme Court if their Fundamental Rights are violated. The Supreme Court can issue writs — Habeas Corpus, Mandamus, Prohibition, Certiorari, and Quo Warranto.","Habeas Corpus,Mandamus,Prohibition,Certiorari,Quo Warranto,Supreme Court,Writ Jurisdiction","Romesh Thappar v. State of Madras","1950","Article 32 is the cornerstone of the Constitution and cannot be abrogated even by emergency","ADM Jabalpur v. Shivkant Shukla","1976","(Controversial) Right to move court suspended during emergency; later overruled by KS Puttaswamy","High","Fundamental Rights - Right to Constitutional Remedies"
"IND-022","Constitution","Part IV - Directive Principles","Article 36-51","Directive Principles of State Policy - Overview","The provisions contained in this Part shall not be enforceable by any court, but the principles therein laid down are nevertheless fundamental in the governance of the country and it shall be the duty of the State to apply these principles in making laws","DPSPs are non-justiciable guidelines to the State for governance. They aim to establish a welfare state. They can be classified into Socialistic (Articles 38, 39, 41, 42, 43, 47), Gandhian (Articles 40, 43, 43B, 46, 47, 48), and Liberal-Intellectual (Articles 44, 45, 48A, 49, 50, 51) categories.","DPSP,Welfare State,Non-Justiciable,Socialistic,Gandhian,Liberal","Minerva Mills v. Union of India","1980","Harmony between Fundamental Rights and DPSPs is part of the basic structure","State of Kerala v. N.M. Thomas","1976","DPSPs can be used to determine reasonableness of restrictions on Fundamental Rights","High","Directive Principles"
"IND-023","Constitution","Part IV - Directive Principles","Article 39","Certain principles of policy to be followed by State","The State shall, in particular, direct its policy towards securing that the citizens, men and women equally, have the right to an adequate means of livelihood; that the ownership and control of the material resources of the community are so distributed as best to subserve the common good","Key DPSP covering equal pay for equal work (Article 39(d)), equal right to livelihood, child protection from abuse (Article 39(e) & (f)), and equitable distribution of resources. Article 39B and 39C deal with distribution of material resources to prevent concentration of wealth.","Equal Pay,Livelihood,Material Resources,Child Protection,Wealth Distribution","Air India v. Nargesh Meerza","1981","Equal pay for equal work is a constitutional goal enforceable in service matters","State of Rajasthan v. Vidhyawati","1962","DPSPs must guide state policy in economic and social fields","High","Directive Principles"
"IND-024","Constitution","Part IV - Directive Principles","Article 44","Uniform Civil Code","The State shall endeavour to secure for the citizens a uniform civil code throughout the territory of India","A directive to the State to enact a common civil law (marriage, divorce, inheritance) applicable to all citizens regardless of religion. Currently different personal laws apply to different religious communities. Goa has a common civil code. The UCC debate involves balancing national unity with religious freedom.","Uniform Civil Code,UCC,Personal Law,Secularism,Gender Justice","Mohd. Ahmed Khan v. Shah Bano Begum","1985","Urged Parliament to enact UCC; Muslim women's right to maintenance highlighted","Sarla Mudgal v. Union of India","1995","Conversion to Islam for second marriage without divorce is void; UCC needed","High","Directive Principles"
"IND-025","Constitution","Part IV - Directive Principles","Article 48A","Protection and improvement of environment","The State shall endeavour to protect and improve the environment and to safeguard the forests and wild life of the country","Inserted by 42nd Amendment 1976. Imposes duty on the State to protect the environment, forests, and wildlife. This article along with Article 51A(g) (citizens' duty to protect environment) forms the constitutional basis for environmental jurisprudence in India.","Environment,Forest,Wildlife,42nd Amendment,Ecological Balance","M.C. Mehta v. Union of India (Ganga Pollution)","1988","Polluter Pays Principle and right to clean environment derived from Articles 21 and 48A","Vellore Citizens Welfare Forum v. Union of India","1996","Precautionary Principle and Sustainable Development are part of environmental law","High","Directive Principles - Environment"
"IND-026","Constitution","Part IVA - Fundamental Duties","Article 51A","Fundamental Duties","It shall be the duty of every citizen of India to abide by the Constitution and respect its ideals and institutions, the national Flag and the National Anthem; to cherish and follow the noble ideals which inspired our national struggle for freedom...","Added by 42nd Amendment 1976 on Swaran Singh Committee recommendations. Originally 10 duties, 11th added by 86th Amendment 2002 (duty of parents to provide education to children aged 6-14). Non-justiciable but courts use them to uphold laws and determine reasonableness of restrictions.","Fundamental Duties,42nd Amendment,Swaran Singh Committee,Non-Justiciable,Citizens Duty","Bijoe Emmanuel v. State of Kerala","1986","Fundamental Duties cannot be enforced to compel citizens to sing national anthem","AIIMS Students' Union v. AIIMS","2001","Fundamental Duties can be used to resolve conflicts between competing rights","High","Fundamental Duties"
"IND-027","Constitution","Part V - The Union","Article 52","The President of India","There shall be a President of India","The President is the constitutional head of India and the first citizen. All executive powers are formally vested in the President but are exercised on the aid and advice of the Council of Ministers headed by the Prime Minister. The President acts as a constitutional figurehead in India's parliamentary democracy.","President,Constitutional Head,Executive Power,Parliamentary Democracy","Ram Jawaya Kapur v. State of Punjab","1955","Executive powers of the Union are vested in the President but exercised through Council of Ministers","Shamsher Singh v. State of Punjab","1974","President must act on the advice of the Council of Ministers in all matters","High","Union Executive"
"IND-028","Constitution","Part V - The Union","Article 72","Pardoning Powers of President","The President shall have the power to grant pardons, reprieves, respites or remissions of punishment or to suspend, remit or commute the sentence of any person convicted of any offence in all cases where the punishment or sentence is a punishment or sentence of death","The President can pardon (completely absolve), commute (reduce severity), reprieve (postpone), or remit (reduce period of) punishment. This power is exercised on the advice of the Council of Ministers. It extends to death sentences, court martial sentences, and offences against Union laws.","Pardon,Reprieve,Remission,Commutation,Death Sentence,Mercy Petition","Epuru Sudhakar v. Govt of AP","2006","Pardoning power is subject to judicial review if exercised arbitrarily, mala fide or without application of mind","Maru Ram v. Union of India","1980","President must act on Council of Ministers' advice in pardoning; power is not absolute","High","Union Executive"
"IND-029","Constitution","Part V - The Union","Article 74","Council of Ministers to aid and advise President","There shall be a Council of Ministers with the Prime Minister at the head to aid and advise the President who shall, in the exercise of his functions, act in accordance with such advice: Provided that the President may require the Council of Ministers to reconsider such advice and the President shall act in accordance with the advice tendered after such reconsideration","The Council of Ministers headed by the PM is the real executive. The President must act on their advice. By 44th Amendment, the President can return the advice once for reconsideration but must accept the reconsidered advice. This establishes Cabinet government and collective responsibility.","Council of Ministers,Prime Minister,Aid and Advice,44th Amendment,Cabinet Responsibility","U.N.R. Rao v. Indira Gandhi","1971","Council of Ministers can continue in office in caretaker capacity after dissolution of Lok Sabha","S.R. Bommai v. Union of India","1994","Floor of the House is the only place to test majority; President cannot act on subjective satisfaction without objective material","High","Union Executive"
"IND-030","Constitution","Part V - The Union","Article 76","Attorney General for India","The President shall appoint a person who is qualified to be appointed a Judge of the Supreme Court to be Attorney General for India","The Attorney General is the chief legal adviser to the Government of India. Appointed by the President and holds office during the President's pleasure. Has right of audience in all courts in India. Does not hold a government office — is not a full-time government servant and can practice privately.","Attorney General,Legal Adviser,Union Government,Supreme Court","Additional District Magistrate v. S.S. Shukla","1976","Attorney General's role in representing the Union government before courts","Union of India v. Association for Democratic Reforms","2002","Attorney General's arguments on government's behalf do not bind courts on constitutional matters","Medium","Union Executive"
"IND-031","Constitution","Part V - The Union","Article 79","Constitution of Parliament","There shall be a Parliament for the Union which shall consist of the President and two Houses to be known respectively as the Council of States and the House of the People","The Indian Parliament has three components: the President, Rajya Sabha (Council of States — upper house), and Lok Sabha (House of the People — lower house). The President is an integral part of Parliament though not a member of either house.","Parliament,Rajya Sabha,Lok Sabha,Bicameral,President","Special Reference No. 1 of 2002","2002","Parliamentary privileges and the relationship between Parliament and courts","Raja Ram Pal v. Speaker Lok Sabha","2007","Parliament's power to expel members is subject to judicial review in cases of violation of constitutional provisions","High","Parliament"
"IND-032","Constitution","Part V - The Union","Article 110","Definition of Money Bills","A Bill shall be deemed to be a Money Bill if it contains only provisions dealing with all or any of the following matters, namely— (a) the imposition, abolition, remission, alteration or regulation of any tax","Money Bills can only be introduced in Lok Sabha. Rajya Sabha can only suggest amendments (not compulsory) within 14 days. If Rajya Sabha doesn't act within 14 days, the bill is deemed passed. The Speaker's certification that a bill is a Money Bill is final.","Money Bill,Lok Sabha,Rajya Sabha,Speaker,Financial Legislation","Mohd. Saeed Siddiqui v. State of Uttar Pradesh","2014","Money Bill certification by Speaker is final and cannot be questioned in courts","Rojer Mathew v. South Indian Bank Ltd","2019","Aadhaar Act unconstitutionally passed as Money Bill; referred to larger bench","High","Parliament - Legislative Process"
"IND-033","Constitution","Part V - The Union","Article 123","Power of President to promulgate Ordinances","If at any time, except when both Houses of Parliament are in session, the President is satisfied that circumstances exist which render it necessary for him to take immediate action, he may promulgate such Ordinances as the circumstances appear to him to require","When Parliament is not in session, the President can issue Ordinances which have the same force as Parliament-enacted laws. Ordinances must be approved by Parliament within 6 weeks of reassembly, else they lapse. An Ordinance cannot be used to amend the Constitution.","Ordinance,Legislative Power,Parliamentary Recess,Immediate Action","D.C. Wadhwa v. State of Bihar","1987","Promulgating Ordinances repeatedly to avoid parliamentary scrutiny is unconstitutional","Krishna Kumar Singh v. State of Bihar","2017","Ordinance-making power is a conditional power; satisfaction of President is subject to judicial review","High","Executive Legislative Powers"
"IND-034","Constitution","Part V - The Union","Article 124","Establishment and constitution of Supreme Court","There shall be a Supreme Court of India consisting of a Chief Justice of India and, until Parliament by law prescribes a larger number, of not more than seven other Judges","The Supreme Court is the apex court and final interpreter of the Constitution. Judges are appointed by the President after consultation with the Chief Justice. The collegium system (evolved through NJAC judgment) governs judicial appointments. Judges hold office till age 65.","Supreme Court,Chief Justice,Judicial Appointments,Collegium,Independence of Judiciary","S.P. Gupta v. Union of India","1981","First Judges Case: consultation with CJI not binding on government","Supreme Court Advocates on Record Association v. Union of India","1993","Second Judges Case: collegium system established; CJI's opinion is primacy","High","Judiciary"
"IND-035","Constitution","Part V - The Union","Article 143","Power of President to consult Supreme Court","If at any time it appears to the President that a question of law or fact has arisen, or is likely to arise, which is of such a nature and of such public importance that it is expedient to obtain the opinion of the Supreme Court upon it, he may refer the question to that Court for consideration","The President can seek advisory opinion from the Supreme Court on questions of law or fact of public importance. The Supreme Court may decline to give opinion. This opinion is not binding on either the President or the courts.","Advisory Opinion,Presidential Reference,Supreme Court,Public Importance","In re the Delhi Laws Act","1951","Extensive use of Article 143 to clarify distribution of legislative powers","Special Reference No. 1 of 2012","2012","Presidential reference on election of Vice-President and procedures","Medium","Judiciary"
"IND-036","Constitution","Part VI - The States","Article 153","Governors of States","There shall be a Governor for each State: Provided that nothing in this article shall prevent the appointment of the same person as Governor for two or more States","The Governor is the constitutional head of a State equivalent to the President at the Centre. Appointed by the President (effectively by the Central government). Holds office at President's pleasure. All executive actions of the state are taken in the Governor's name.","Governor,State Executive,Presidential Appointment,Constitutional Head","B.P. Singhal v. Union of India","2010","Governor can be removed but only for valid reasons; pleasure doctrine not absolute","Rameshwar Prasad v. Union of India","2006","Governor's report to President recommending President's Rule must be bona fide and based on objective material","High","State Executive"
"IND-037","Constitution","Part VI - The States","Article 163","Council of Ministers to aid and advise Governor","There shall be a Council of Ministers with the Chief Minister at the head to aid and advise the Governor in the exercise of his functions, except in so far as he is by or under this Constitution required to act in his discretion","Similar to Article 74, the Governor must act on the CM-headed council's advice except in matters of discretion (reserving bills, reporting on breakdown of constitutional machinery, appointing CM when no clear majority). Discretionary powers are to be exercised carefully.","Council of Ministers,Chief Minister,Governor,Discretion,State Government","Nabam Rebia v. Deputy Speaker","2016","Governor's discretionary powers must be exercised within constitutional bounds","Rameshwar Prasad v. Union of India","2006","Governor cannot arbitrarily refuse to invite the leader of the largest party to form government","High","State Executive"
"IND-038","Constitution","Part VI - The States","Article 200","Assent to Bills by Governor","When a Bill has been passed by the Legislative Assembly of a State, it shall be presented to the Governor and the Governor shall declare either that he assents to the Bill, or that he withholds assent therefrom, or that he reserves the Bill for the consideration of the President","The Governor can assent, withhold assent, return a non-money bill for reconsideration once, or reserve the bill for President's consideration. The concept of 'pocket veto' (indefinitely withholding assent) has been a constitutional controversy.","Assent,Governor,Reserve,President,State Legislation","In re Article 200 of the Constitution","2023","SC held Governors cannot indefinitely withhold assent; must act within reasonable time","State of Punjab v. Principal Secretary to Governor of Punjab","2023","Governor's withholding of assent indefinitely amounts to unconstitutional pocket veto","High","State Legislature"
"IND-039","Constitution","Part XI - Relations between Union and States","Article 245","Extent of laws made by Parliament and by Legislatures of States","Subject to the provisions of this Constitution, Parliament may make laws for the whole or any part of the territory of India, and the Legislature of a State may make laws for the whole or any part of the State","Parliament can make laws for the entire country; State legislatures can make laws only for their state. Parliament can also make laws for areas not covered by any state (e.g., Union Territories, international waters).","Legislative Jurisdiction,Parliament,State Legislature,Territorial Extent","GVK Industries v. Income Tax Officer","2011","Parliament's power to make extraterritorial laws is not unlimited; must have nexus with India","State of Bombay v. F.N. Balsara","1951","Legislative competence determined by pith and substance of the law","High","Centre-State Relations"
"IND-040","Constitution","Part XI - Relations between Union and States","Article 262","Adjudication of disputes relating to waters of inter-State rivers","Parliament may by law provide for the adjudication of any dispute or complaint with respect to the use, distribution or control of the waters of, or in, any inter-State river or river valley","Parliament can by law exclude the jurisdiction of the Supreme Court and all other courts in inter-state water disputes. The Inter-State River Water Disputes Act 1956 operationalises this. Tribunals like Cauvery, Krishna, Ravi-Beas Tribunals are constituted under this provision.","Inter-State River,Water Disputes,Tribunal,River Water Sharing","State of Karnataka v. State of Andhra Pradesh","2000","Water disputes can only be resolved through statutory tribunal, not Supreme Court directly","Cauvery Water Disputes Tribunal","2018","Supreme Court upheld tribunal allocation between Karnataka and Tamil Nadu","High","Centre-State Relations"
"IND-041","Constitution","Part XII - Finance","Article 280","Finance Commission","The President shall, within two years from the commencement of this Constitution and thereafter at the expiration of every fifth year or at such earlier time as the President considers necessary, by order constitute a Finance Commission","The Finance Commission is a constitutional body constituted every 5 years to recommend the distribution of tax revenues between the Centre and States (vertical devolution) and among States (horizontal devolution). Also recommends grants-in-aid. 16th Finance Commission is currently constituted.","Finance Commission,Devolution,Tax Revenue,Grants,Fiscal Federalism","State of Kerala v. Union of India","1961","Finance Commission recommendations are not binding but are persuasive on the government","West Bengal v. Union of India","1962","Centre-State financial relations are governed by constitutional provisions and Finance Commission recommendations","High","Finance and Property"
